test_id,timestamp,domain,level,course_title,description_length,generation_time_sec,model_inference_time_sec,parsing_time_sec,markdown_valid,pipeline_success,total_tokens_generated,model_checkpoint,num_modules,num_activities,num_assessments,total_components,avg_module_hours,has_learning_objectives,prerequisite_accuracy,difficulty_progression,topic_diversity,blooms_taxonomy_coverage,overall_quality_score,num_modules_available,num_modules_filtered,num_modules_ranked,semantic_ranking_time_sec,quality_reranking_used,reranking_improved_quality,error_occurred,error_type,warning_count,validation_issues
test_021_physics_advanced_particle_physics,2025-10-30T23:10:27.888246,physics,advanced,Particle Physics,149,13.075,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.5,0.0,970,37,20,0.0,0,0,0,,0,
test_022_eng_beginner_intro_engineering,2025-10-30T23:10:27.889949,engineering,beginner,Introduction to Engineering,144,0.001,0.0,0.0,0,0,0,models/codet5-sequenced/checkpoint-196,0,0,0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0,1,unknown_error,0,
test_023_eng_beginner_circuits,2025-10-30T23:10:27.894724,engineering,beginner,Circuit Analysis,157,0.001,0.0,0.0,0,0,0,models/codet5-sequenced/checkpoint-196,0,0,0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0,1,unknown_error,0,
test_024_eng_intermediate_signals,2025-10-30T23:10:27.896129,engineering,intermediate,Signals and Systems,126,0.001,0.0,0.0,0,0,0,models/codet5-sequenced/checkpoint-196,0,0,0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0,1,unknown_error,0,
test_025_eng_advanced_control_systems,2025-10-30T23:10:27.897284,engineering,advanced,Advanced Control Systems,157,0.001,0.0,0.0,0,0,0,models/codet5-sequenced/checkpoint-196,0,0,0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0,1,unknown_error,0,
test_026_edge_minimal_input,2025-10-30T23:10:41.796845,computer_science,beginner,Artificial Intelligence,0,13.899,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,1,3,2,6,6.0,1,0.0,0.9,0.8,0.0,0.0,970,205,20,0.0,0,0,0,,0,
test_027_edge_very_long_description,2025-10-30T23:11:05.206932,computer_science,intermediate,Software Engineering,1548,23.406,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,3,8,8.0,1,1.0,0.9,0.8,0.667,0.0,970,402,20,0.0,0,0,0,,0,
test_028_edge_cross_domain_computational_physics,2025-10-30T23:11:05.208681,interdisciplinary,advanced,Computational Physics,189,0.001,0.0,0.0,0,0,0,models/codet5-sequenced/checkpoint-196,0,0,0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0,1,unknown_error,0,
test_029_edge_intensive_bootcamp,2025-10-30T23:11:21.274752,computer_science,beginner,Full-Stack Web Development Bootcamp,165,16.064,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,1.0,0.9,0.8,0.5,0.0,970,205,20,0.0,0,0,0,,0,
test_030_edge_contradictory_beginner_quantum,2025-10-30T23:11:29.150663,physics,beginner,Quantum Computing for Beginners,158,7.875,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,3,8,8.0,1,0.0,0.9,0.8,0.333,0.0,970,12,12,0.0,0,0,0,,0,
test_031_edge_ambiguous_statistics,2025-10-30T23:11:29.152437,interdisciplinary,intermediate,Applied Statistics and Data Science,156,0.001,0.0,0.0,0,0,0,models/codet5-sequenced/checkpoint-196,0,0,0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0,1,unknown_error,0,
test_032_edge_niche_bioinformatics,2025-10-30T23:11:29.155949,interdisciplinary,advanced,Bioinformatics Algorithms,152,0.001,0.0,0.0,0,0,0,models/codet5-sequenced/checkpoint-196,0,0,0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0,1,unknown_error,0,
test_033_edge_interdisciplinary_data_science,2025-10-30T23:11:29.157321,interdisciplinary,intermediate,Data Science Foundations,156,0.001,0.0,0.0,0,0,0,models/codet5-sequenced/checkpoint-196,0,0,0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0,1,unknown_error,0,
test_034_edge_postgraduate_advanced_nlp,2025-10-30T23:11:51.034074,computer_science,postgraduate,Advanced Natural Language Processing,154,21.876,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.5,0.0,970,372,20,0.0,0,0,0,,0,
test_035_edge_minimal_metadata,2025-10-30T23:12:06.485117,mathematics,intermediate,Cryptography,88,15.45,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,2,7,8.0,1,0.5,0.9,0.8,0.5,0.0,970,221,20,0.0,0,0,0,,0,
