test_id,timestamp,domain,level,course_title,description_length,generation_time_sec,model_inference_time_sec,parsing_time_sec,markdown_valid,pipeline_success,total_tokens_generated,model_checkpoint,num_modules,num_activities,num_assessments,total_components,avg_module_hours,has_learning_objectives,prerequisite_accuracy,difficulty_progression,topic_diversity,blooms_taxonomy_coverage,overall_quality_score,num_modules_available,num_modules_filtered,num_modules_ranked,semantic_ranking_time_sec,semantic_avg_score,semantic_min_score,semantic_max_score,quality_reranking_used,reranking_improved_quality,error_occurred,error_type,warning_count,validation_issues
test_019_physics_beginner_mechanics,2025-11-01T00:44:19.374863,physics,beginner,Classical Mechanics,136,12.842,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,1.0,0.9,0.8,0.5,0.0,970,12,12,0.0,0.325,0.142,0.618,0,0,0,,0,
test_020_physics_beginner_electricity,2025-11-01T00:44:32.196244,physics,beginner,Electricity and Magnetism,163,12.82,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.333,0.0,970,12,12,0.0,0.395,0.105,0.586,0,0,0,,0,
test_021_physics_intermediate_quantum,2025-11-01T00:44:43.177471,physics,intermediate,Quantum Mechanics I,135,10.98,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.5,0.0,970,27,20,0.0,0.36,0.12,0.589,0,0,0,,0,
test_022_physics_intermediate_thermodynamics,2025-11-01T00:44:54.842598,physics,intermediate,Thermodynamics and Statistical Mechanics,143,11.664,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,2,7,8.0,1,0.0,0.9,0.8,0.333,0.0,970,27,20,0.0,0.286,0.194,0.435,0,0,0,,0,
test_023_physics_advanced_particle_physics,2025-11-01T00:45:07.977853,physics,advanced,Particle Physics,149,13.134,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.5,0.0,970,37,20,0.0,0.306,0.248,0.419,0,0,0,,0,
test_024_physics_beginner_waves_optics,2025-11-01T00:45:17.003617,physics,beginner,Waves and Optics,139,9.025,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,1.0,0.9,0.8,0.5,0.0,970,12,12,0.0,0.358,0.073,0.662,0,0,0,,0,
test_025_edge_very_long_description,2025-11-01T00:45:39.821032,computer_science,intermediate,Software Engineering,1548,22.816,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,2,7,8.0,1,1.0,0.9,0.8,0.5,0.0,970,402,20,0.0,0.527,0.501,0.583,0,0,0,,0,
test_026_edge_intensive_bootcamp,2025-11-01T00:45:56.668163,computer_science,beginner,Full-Stack Web Development Bootcamp,165,16.846,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,2,7,8.0,1,1.0,0.9,0.8,0.333,0.0,970,205,20,0.0,0.206,0.067,0.451,0,0,0,,0,
test_027_edge_contradictory_beginner_quantum,2025-11-01T00:46:05.585834,physics,beginner,Quantum Computing for Beginners,158,8.916,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,3,8,8.0,1,0.0,0.9,0.8,0.333,0.0,970,12,12,0.0,0.239,0.103,0.37,0,0,0,,0,
test_028_edge_minimal_metadata,2025-11-01T00:46:20.828664,mathematics,intermediate,Cryptography,88,15.241,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,2,7,8.0,1,0.5,0.9,0.8,0.5,0.0,970,221,20,0.0,0.325,0.309,0.399,0,0,0,,0,
test_029_edge_postgraduate_advanced_nlp,2025-11-01T00:46:43.174488,computer_science,postgraduate,Advanced Natural Language Processing,154,22.345,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.5,0.0,970,372,20,0.0,0.317,0.3,0.343,0,0,0,,0,
test_030_cs_intermediate_operating_systems,2025-11-01T00:47:06.382941,computer_science,intermediate,Operating Systems,138,23.207,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.333,0.0,970,402,20,0.0,0.391,0.375,0.444,0,0,0,,0,
test_031_math_intermediate_probability,2025-11-01T00:47:22.041671,mathematics,intermediate,Probability Theory,160,15.657,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.667,0.0,970,221,20,0.0,0.294,0.267,0.347,0,0,0,,0,
test_032_cs_advanced_computer_vision,2025-11-01T00:47:44.637626,computer_science,advanced,Computer Vision,138,22.595,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.5,0.0,970,372,20,0.0,0.431,0.412,0.477,0,0,0,,0,
