test_id,timestamp,domain,level,course_title,description_length,generation_time_sec,model_inference_time_sec,parsing_time_sec,markdown_valid,pipeline_success,total_tokens_generated,model_checkpoint,num_modules,num_activities,num_assessments,total_components,avg_module_hours,has_learning_objectives,prerequisite_accuracy,difficulty_progression,topic_diversity,blooms_taxonomy_coverage,overall_quality_score,num_modules_available,num_modules_filtered,num_modules_ranked,semantic_ranking_time_sec,quality_reranking_used,reranking_improved_quality,error_occurred,error_type,warning_count,validation_issues
test_021_physics_advanced_particle_physics,2025-10-30T21:07:55.839353,physics,advanced,Particle Physics,149,12.77,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,0.0,1,0.0,0.0,0.8,0.0,0.0,0,0,0,0.0,0,0,0,,0,
test_022_eng_beginner_intro_engineering,2025-10-30T21:07:55.841024,engineering,beginner,Introduction to Engineering,144,0.001,0.0,0.0,0,0,0,models/codet5-sequenced/checkpoint-196,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,1,unknown_error,0,
test_023_eng_beginner_circuits,2025-10-30T21:07:55.842280,engineering,beginner,Circuit Analysis,157,0.001,0.0,0.0,0,0,0,models/codet5-sequenced/checkpoint-196,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,1,unknown_error,0,
test_024_eng_intermediate_signals,2025-10-30T21:07:55.843381,engineering,intermediate,Signals and Systems,126,0.001,0.0,0.0,0,0,0,models/codet5-sequenced/checkpoint-196,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,1,unknown_error,0,
test_025_eng_advanced_control_systems,2025-10-30T21:07:55.844412,engineering,advanced,Advanced Control Systems,157,0.0,0.0,0.0,0,0,0,models/codet5-sequenced/checkpoint-196,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,1,unknown_error,0,
test_026_edge_minimal_input,2025-10-30T21:08:10.114580,computer_science,beginner,Artificial Intelligence,0,14.27,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,1,3,2,6,0.0,1,1.0,0.0,0.8,0.0,0.0,0,0,0,0.0,0,0,0,,0,
test_027_edge_very_long_description,2025-10-30T21:08:33.014903,computer_science,intermediate,Software Engineering,1548,22.899,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,2,7,0.0,1,1.0,0.0,0.8,0.0,0.0,0,0,0,0.0,0,0,0,,0,
test_028_edge_cross_domain_computational_physics,2025-10-30T21:08:33.020110,interdisciplinary,advanced,Computational Physics,189,0.001,0.0,0.0,0,0,0,models/codet5-sequenced/checkpoint-196,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,1,unknown_error,0,
test_029_edge_intensive_bootcamp,2025-10-30T21:08:49.617196,computer_science,beginner,Full-Stack Web Development Bootcamp,165,16.586,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,2,7,0.0,1,1.0,0.0,0.8,0.0,0.0,0,0,0,0.0,0,0,0,,0,
test_030_edge_contradictory_beginner_quantum,2025-10-30T21:08:58.194749,physics,beginner,Quantum Computing for Beginners,158,8.577,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,3,9,0.0,1,0.0,0.0,0.8,0.0,0.0,0,0,0,0.0,0,0,0,,0,
test_031_edge_ambiguous_statistics,2025-10-30T21:08:58.196511,interdisciplinary,intermediate,Applied Statistics and Data Science,156,0.001,0.0,0.0,0,0,0,models/codet5-sequenced/checkpoint-196,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,1,unknown_error,0,
test_032_edge_niche_bioinformatics,2025-10-30T21:08:58.199594,interdisciplinary,advanced,Bioinformatics Algorithms,152,0.001,0.0,0.0,0,0,0,models/codet5-sequenced/checkpoint-196,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,1,unknown_error,0,
test_033_edge_interdisciplinary_data_science,2025-10-30T21:08:58.200887,interdisciplinary,intermediate,Data Science Foundations,156,0.001,0.0,0.0,0,0,0,models/codet5-sequenced/checkpoint-196,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,1,unknown_error,0,
test_034_edge_postgraduate_advanced_nlp,2025-10-30T21:09:19.630899,computer_science,postgraduate,Advanced Natural Language Processing,154,21.429,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,0.0,1,0.0,0.0,0.8,0.0,0.0,0,0,0,0.0,0,0,0,,0,
test_035_edge_minimal_metadata,2025-10-30T21:09:35.273885,mathematics,intermediate,Cryptography,88,15.642,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,2,7,0.0,1,0.5,0.0,0.8,0.0,0.0,0,0,0,0.0,0,0,0,,0,
